,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
22,LINC00511,TMT1A,LINC00326,CPQ,ITGAL,TPRG1,PGR,FCER1G,TNS3,CNTN5,GRIN2C,ITGAX,RGL3,TGM2,VRK2,CPA6,CDH20,OLIG1,EGFR,ND6,GALNTL6,SEMA3E,BGN,GREM1
23,ZBTB20,IQGAP2,FKBP5,CA2,RGL3,P2RY8,HCK,CD99,ARHGAP24,GRIK1,LRRC3B,HLA-B,PDE3A,LNCAROD,NTNG1,NPAS3,RAB31,GALNTL6,MIR4300HG,SDC4,RAD51B,ROR2,TMT1A,HCK
24,SLC25A18,ALOX15B,TGFB2,PDK4,GFAP,WWTR1,SDK1,RMST,NDRG2,SGO1-AS1,EZR,FOXC1,GFAP,FGFR3,NPAS3,KLHL1,LOC101927314,ND6,NEAT1,SULF2,FAM107A,TMIGD3,PRELP,LINC00609
25,ZFP36L1,TNFRSF11B,HSPB1,SLC44A1,PRDM16,PLXDC2,TNS3,SASH1,FAM107A,MRC1,MYO16,CYP27A1,ATP1B2,PARVG,HHATL,COL21A1,ERBB4,ADARB2,ND6,OBI1-AS1,PLXDC2,POSTN,HLA-E,PLXDC2
26,LINC00472,SRGAP1,GLUL,CXCR4,HPGDS,TMEM132C,GFAP,LINC00924,IRAK3,LRRC3B,MARCKSL1,ND6,ADARB2,NFIA,SYTL3,LPCAT2,MARCKSL1,LINC01446,LINC02742,HEY2-AS1,KLF4,ITGA1,EVA1B,LHFPL2
27,CDH23,PRKCH,MAF,LHFPL3,LILRA4,CD93,DPP10,TMT1A,LHFPL3,PLD5,ND6,HPSE2,PARD3B,TSHZ2,RYR3,RYR3,TSC22D4,NDRG2,ADARB2,GFAP,PARD3B,HCK,CDC42EP4,SYNPR
28,SAMD4A,RANBP3L,MT2A,ERBB4,FGFR2,LOC124909494,GREM1,ZFP36L2,PLXDC2,RNF144B,CSRP1,STEAP1B,ND6,GPR37L1,LINC02742,GNG12,ERBB3,ALPK1,GFAP,MAF,ERBB4,EGFR,F3,RAD51B
29,PHYHD1,FLT1,CTSB,LINC00320,LINC02511,MID1,ITPR2,CALCR,CBLN2,NDRG2,LINC00609,PRELP,DPEP2,GFAP,NFIA,PLCG2,GPRC5B,THSD4,RAD51B,LOC285626,TMC6,EMX2OS,NDRG1,MAML3
30,MIR4300HG,SPON1,SYTL3,GPRC5B,LRRC3B,IL2RG,SLC7A2,CA2,HCK,GFAP,PLCG2,NEAT1,IER3,NDRG2,ZBTB20,LOC285626,SMOC1,PRKCQ,CNTN5,FAM107B,ARHGAP15,ADARB2,ZFHX3,ROBO2
31,MAML2,ACSL1,THSD7A,APOD,LINC01317,KAT2B,HPSE2,FKBP5,RYR3,MMD2,TENM1,PARD3,STEAP1B,NEAT1,ND6,SMOC1,QKI,ZFHX4,GREM1,TTR,PTGDS,KLF4,S100A4,CHI3L1
32,NFATC2,CIITA,LHFPL2,PLD5,PLPPR1,EGFR,ZNF804A,NEAT1,SYTL3,PLXDC2,PARVG,ZNF804A,LINC02742,ADAMTS17,KCNIP1,PNOC,DUSP1,CALB2,NXPH1,IGFBP5,PALD1,LITAF,DENND3,NXN
33,PDZRN4,GLDN,GJA1,ST6GALNAC3,SOX6,IRAK3,ZNF385D,SEMA3C,ZNF385D,ERBB4,PDLIM5,GALNTL6,EBI3,WIF1,NEAT1,NDRG2,EGFR,CD58,RANBP3L,SLC39A11,HSPA2,TSHZ2,ZFP36,PWRN1
34,SDC4,PADI2,LOC285626,SOX10,SPATA13,PLEKHH2,TSHZ2,CD83,PTGDS,GREM1,PPP1R3C,HEPACAM,NFIA,IGFBP7,MAML2,ADARB2,KAT2B,SOCS3,SEMA3E,RASGEF1B,HIF3A,GNG11,APOLD1,ATP1A2
35,KCNJ10,LOC283194,LINC01317,CPM,PREX1,ADIPOR2,CD37,PDZRN4,PARD3B,SLC7A5,UACA,GPC5,FGFR2,CSF2RA,SRGAP1,EGFR,GPR17,NDST4,FGFR2,ARHGEF26,FKBP5,STEAP1B,GREM1,LINC01098
36,GJA1,ZBTB20,GNG12-AS1,LRRC1,CLDN11,STX11,LOC100507336,VENTX,SLC7A2,ZFHX4-AS1,LRRC63,FCER1G,HS3ST4,FGFR2,GREM1,LAMA3,RFTN2,CYBA,SYTL3,LINC00836,CBLN2,LINC02742,CD99,LOC105377862
37,AHNAK,CPVL,HIF3A,QKI,PLXDC2,HCLS1,ABI3BP,LOC102546299,FGFR3,LINC02798,ZNF804A,FGFR3,HPSE2,SLCO1A2,LINC00472,LINC00298,TMT1A,NXN,LAT2,IKZF1,APBB1IP,PLXDC2,RGCC,FGFR2
38,TMT1A,GSN,LINC02263,LINC02742,SLC6A12,LINC01036,ATP1B2,TSHZ2,GJA1,NPAS3,EFHD1,CALCR,SYTL3,SFMBT2,QKI,ANLN,H2AC6,ATP1A2,LINC01317,CD79B,GJA1,LOC105373347,FOXC1,ZBTB20
39,CASC17,RASGRP3,HLA-B,TGFB2,SPN,ZHX2,NLRC5,TFEB,ERBB4,NXN,CBLN2,CDK18,RELN,LINC02742,CHRM2,MAML2,HLA-B,PTGDS,ABCA1,ZNF385D,P2RX1,SLC1A2,MAF,H2AC6
40,NWD1,IFI44L,GPC5,ITPR2,FYB1,NEDD9,VAV3,CBLN2,LPAR5,ZNF385D,CECR2,PDZRN4,PLXDC2,SEMA3C,EGFR,HHATL,MT2A,VSIG4,GRIK1,LRRC63,XYLT1,ATP6V0D2,GPC3,ABI3BP
41,RIN2,DLEU1,B2M,RASSF2,RELN,KLF4,FAM107A,SRGAP1,B2M,TFEB,VRK2,NFIA,ADAMTSL1,NDRG1,PCDH15,GRIK1,TRPS1,CLDN5,ZNF804A,LINC02055,ATP1A2,TCF7L1,GADD45B,EDA
42,STEAP1B,SDK1,PTGDS,SELENOP,SEMA3E,TNFAIP3,LRRC3B,H2BC8,GPRIN3,NEAT1,B2M,FKBP5,CTSB,LTBP1,LINC01931,ATP1A2,PDE4B,STEAP1B,PRELID2,LINC01748,NDRG2,TNS3,NPSR1,QKI
43,LINC00499,AHNAK,NLRP1,CSRP1,THSD7A,COL4A1,EDA,APOD,HS3ST2,LMNTD1,ANO2,TENT5A,MT2A,PLXDC2,SGO1-AS1,SDK1,ATP1A2,CAPN3,TENM1,ADAMTS9,CDH20,FENDRR,CST3,SYTL3
44,ITPKB,UTRN,FBXL7,TPD52L1,PTN,MAN2A1,SEMA3E,CCL2,SEMA3E,SNTB1,C10orf90,CBLN2,H2AC6,CYP27A1,LINC01748,QKI,CHST3,ZIC1,CA8,S100A11,TRPM3,SLC2A9,NINJ2,SHISA6
45,TRPS1,EMP2,FGFR3,SPP1,LINC02742,RGS5,COL6A3,RUNX1,GLUL,LUZP2,PLD5,DHRS3,MMD2,SLC1A3,ALDH1L1,EDA,APCDD1,LRMDA,CHI3L1,IFITM3,DUSP1,PLPPR1,RGS16,LINC02798
46,SYTL3,CPA6,ATP1B2,LRP2,NFIA,CXCL2,NFIA,NDRG2,RUNX1,APOLD1,KCNJ10,ADAMTS17,SEMA3C,ACACB,RASSF8,GFAP,MEGF11,TTR,EMX2,SYTL3,SLC9A9,TMTC2,SLC6A12,AMER2
47,CHST11,LNCAROD,PLXDC2,LRP4,CBLN2,TAC1,LINC01821,ERBB4,ALOX15B,CHD7,ZC3HAV1,TTYH2,FGFR3,DSEL-AS1,GFAP,PBX3,SYNE2,C3,ADGRG1,FCER1G,SLC1A3,ATP1A2,HLA-B,C5orf64
48,GLIS3,SLC1A3,EGFR,SYTL3,OBI1-AS1,APOD,MAF,P2RX1,ADAMTSL1,RHOJ,TMT1A,MAF,CA8,SPP1,SEMA3E,DPP10,HSPB1,LRP4,XYLT1,HCK,TSHZ2,CRYAB,ADAMTS9-AS2,H1-3
49,KCNN3,TLR2,ERBB4,LHFPL2,EFEMP1,CD55,LCP2,B2M,EMX2OS,RMST,NFATC2,NDRG2,FRMD4B,FKBP5,PITPNC1,VRK2,PDZRN4,HAMP,ARHGAP6,ARHGAP31,NFIA,GFAP,IL17RA,HPN-AS1
50,GPR37L1,PLSCR1,PAWR,XYLT1,CCN1,GNG12,GJA1,MS4A7,PLD5,NXPH2,ACACB,GLUL,PLSCR1,ARHGAP31,SMOC1,LINC02742,CNP,MYO15B,RGS12,ARHGAP6,LOC101927141,PSD2,HSPB1,STEAP1B
51,ADAM33,ABCA1,DUSP1,CLCA4,QKI,TFPI,CD14,ACSBG1,CTSB,HLA-C,CHST11,SLCO1C1,CD96,TXNIP,TRPS1,NFIA,CHST9,LINC02997,DPP10,LHFPL2,HS3ST2,SDK1,TNFAIP3,GPRIN3
52,KLF4,IRAK3,TSHZ2,KANK1,BMPR1B,MMRN1,ADGRE2,MS4A4E,EDA,MLC1,NXN,B2M,NKAIN3,TPD52L1,LAMA3,STEAP1B,SGO1-AS1,ITGA1,LHFPL2,SGO1-AS1,SLC4A4,EFEMP1,RIN2,H2BC8
53,ITIH5,GPNMB,LHFPL3,HLA-A,LAT2,RREB1,IL1R1,GREM1,IGFBP5,RASGEF1C,TPD52L1,ADARB2,HLA-B,AMER2,HIP1,CHRM5,MAF,NXPH1,NPAS3,SEMA3E,TNS3,NTNG1,CPM,LITAF
54,ERBB4,MIR3667HG,AMER2,LAMP2,MYO16,DEPP1,LHFPL3,CRYAB,PRELID2,FGFR3,ITGA8,PTGDS,SV2C,PDGFD,PREX2,PCDH15,ZNF385D,IFITM3,NDRG2,RGMA,TRPS1,DUSP1,PLIN5,LINC01088
55,ANGPT1,MBP,IGFBP5,ERMN,LAPTM5,ITPR2,LAIR1,MMD2,SPP1,PDE1C,ADAMTS17,CT69,GABRE,CHST11,PLPPR1,PMP22,S100B,CD84,FSHR,RIPOR3,FGFR2,PRDM16,SLC7A2,THSD7A
56,NPL,TPRG1,SPP1,ADIPOR2,ITGA1,F11-AS1,STEAP1B,GJA1,QKI,LOC101927314,KIAA1217,LINC00877,HLA-C,LINC00609,LINC01098,L3MBTL4,C11orf96,ITPKB,RNF220,LRRC3B,CLEC5A,SLC1A3,PLPP3,ABCA1
57,GREM1,MAML2,HS3ST2,CHD7,RGCC,GJA1,RAD51B,PLIN2,PARD3,NLRP1,KCNN3,LAT2,LINC00511,ETNPPL,ADAMTS9-AS2,PLXDC2,FTH1,KCNIP1,ZIC1,DPP10,SYTL3,FCRL3,PMP22,MBP
58,CCL2,MAN2A1,MYO15B,RELN,IGFBP7,LITAF,FAM107B,LNCAROD,AQP4,PLCE1,STEAP1B,APOLD1,GLIS3,PDK4,ARHGAP15,LOC102546299,HIP1,LHFPL2,LINC00548,LINC01036,LINC01098,RHOJ,TMEM123,PMP2
59,TPD52L1,ZFP36L2,BCL6,LOC105373335,KIAA1755,RAB20,SPP1,TANC1,SLC1A3,PREX2,HIF3A,VWA1,LINC01010,PHF21B,CHST11,GREM1,MIR3667HG,CSF1R,DACH2,TSHZ2,RASGEF1B,RYR3,SHISA6,RGCC
60,PSD2,SCIN,RAD51B,TXNIP,CNP,PREX1,SLC1A3,PLEKHH1,PECAM1,GPRIN3,EYA1,NTNG1,LINC00609,STK32B,CHRM5,SYTL3,CDH19,GJA1,STEAP1B,C1QB,PLPPR1,GJA1,LHCGR,MAF
61,FOXO1,FRMD4B,CDK18,HLA-C,DACH2,ZIC1,NXN,CDC42EP4,MECOM,HSPB1,SPATA13,RASGEF1B,GJA1,SGCZ,L3MBTL4,BCHE,MAML2,MAML2,SLC7A5,RUNX1,FBXL7,LOC101927141,CR1,TTR
62,GPRC5B,ALOX5AP,STEAP1B,NDRG2,RUNX2,RHOJ,FOXP2,LINC02642,LINC01445,FKBP5,ZBTB20,SYTL3,TFPI,PLCE1,SULF1,CCN2,NFIA,LINC01317,MAF,DAPK2,ITGA8,STK32A,FTH1,CD74
63,SEMA3E,APOE,NXN,CHRM5,LUCAT1,LOC100507336,RIN2,QKI,WIF1,HPGDS,HCK,STK33,CHRM2,LRRC3B,LINC00298,SLC39A11,TASL,PCDH15,GJA1,PLCE1,PCAT1,RELN,CD79B,FKBP5
64,KLF2,LAPTM5,GALNTL6,ELMO1,ROBO2,FLT1,PARD3,FOS,FGFR2,MYT1,DOCK1,SLC31A2,CXCL16,SULF1,RGS18,ND6,SYTL4,CHI3L1,SULF1,SLC7A7,LRMDA,KCNN3,IFITM3,HLA-E
65,COL5A3,LINC01736,ADARB2,HLA-E,HCK,SASH1,CABLES1,IGFBP5,TXNIP,GABRE,CD14,KIF26B,CD9,LINC00548,PNOC,ARHGAP42,CSRP1,TMEM132C,LRRC3B,MAML2,PON2,KIR2DL3,PYCARD,NDRG2
66,RFTN2,DOCK5,ARHGAP15,B2M,MYRF,MBP,SLA,RNF144B,PBX3,LUCAT1,OLIG1,BTNL9,SRGAP1,ITGB2,SLC25A18,ITPR2,SLAIN1,ANGPT1,HIF3A,LINC00548,HCK,SPHKAP,CD9,APOD
67,OLMALINC,HLA-DPA1,ZNF385D,CDKN1C,FBXL7,RBPMS,MEGF10,TASL,VAV3,ABCA8,SYTL3,ZNF385D,THSD4,PIK3CG,FGFR2,GPRIN3,MIR4300HG,RERG,COL21A1,CLECL1P,ADARB2,FGL1,RAMP2,LRRC63
68,VSIR,CXCR4,SLC1A3,CDH20,LINC01036,POLR2F,ALPK1,MRC2,CYBRD1,FAM177B,FAM107A,HS3ST2,SLC7A2,ITGA8,STEAP1B,PLEKHB1,APOLD1,NFIA,ZFHX3,APOD,HLA-B,NWD1,THSD7A,COL6A2
69,MAF,HLA-E,HCK,EPCAM-DT,GRAMD2B,SOX17,FSHR,FOXP2,HPSE2,STEAP1B,DOCK5,QKI,PREX2,LRRC63,ZFHX4,HIP1,PCDH15,ROBO2,POSTN,CD74,NXPH1,LOC105374438,JUNB,CACHD1
70,CD44,CYP27A1,HSPA1A,SEMA3E,PRR18,HS3ST2,ARHGEF26,VAV3,SLC6A12,HS3ST4,ZFHX4,HIF3A,TNS3,SLC24A3,NXN,ENPP2,NPAS3,HLA-DRA,ELMO1,NKD1,IFNG-AS1,FKBP5,MYL9,SLC39A11
71,LMNTD1,ST18,FAM107A,PHF21B,SLC39A12,AGBL1,SFMBT2,FAM107B,PRDM16-DT,AMER2,PLXDC2,ETS1,CACHD1,RMST,PBX3,SLC1A3,STK32A,NUPR1,LOC101927314,FIRRE,CCL2,ENOX2,DDIT4,LOC285626
72,FAM107A,SLA,FAM177B,HDAC2-AS2,SPON1,IL4R,GLUL,MAML3,ITGAX,FCGRT,ZNF385D,GJA1,PHF21B,PECAM1,LINC00548,LINC01317,PLPP4,CNTN2,CBLN2,GJA1,AMER2,FGFR2,SLC22A3,FCER1G
73,PRRX1,ARHGAP6,PHF21B,H2AC6,NXPH1,ADAMTS1,RUNX1,RAD51B,EDNRA,TINAGL1,NEAT1,PCAT1,TGFB2,GLUL,LOC101926964,TXNIP,SOX10,TTYH2,PTN,HS3ST5,C11orf96,BST2,ALDH1L1,LRMDA
74,TMEM144,HGF,SLC7A2,HLA-B,NCKAP5,LINC02328,IGFBP5,PXK,STEAP1B,GLI3,ARHGAP42,LYN,ARHGAP6,CCL3L1,VAV3,LINC00472,LOC100507336,ZNF804A,ZNF385D,LINC01684,TTR,ND6,TBX3,KLHL1
75,PRELP,CD86,TAGLN2,PACRG-AS3,LRMDA,EGLN3,LUZP2,GALNTL6,CA8,KCNE4,FAT4,ROBO2,TTR,TGFBI,FKBP5,VAV3,DISC1FP1,LOC285626,TRPS1,LINC00968,EPS8,SLC35D2,IFITM1,LYPD6
76,LINC02742,SLC6A12,APOD,KIT,CDK18,ATP1A2,PITPNC1,IL1RAPL2,CLDN5,PIEZO2,ANLN,LHFPL2,APOLD1,EBF1,FAT4,PLD5,NFATC2,PLCE1,SASH1,PRDM16,LOC101927314,MMD2,DOCK8,CHST11
77,BACH1,MITF,ALDH1L1,MAF,AGMO,CD79B,H2AC6,LOC101928516,PLIN5,CYBRD1,PRELID2,SGCZ,LOC101927745,ADAM33,LINC02642,CRISPLD2,TGFB2,NOS1,HLA-B,GABRE,UACA,EPCAM-DT,LINC02240,ZNF385D
78,RASSF8,CXCL16,SDC4,UST,TPRG1,PELI1,SLCO1C1,SLC1A3,RASGEF1C,RASSF8,LINC01299,SRGAP1,IGFBP5,LINC01010,ABCA1,LINC00499,PBX3,LINC00609,HCK,LAPTM5,ENOX2,LRRC63,FN1,SPP1
79,RGCC,IL13RA1,ARHGAP24,SLC27A6,TMT1A,ITGA1,FGFR3,TYMP,PHYHD1,PBX3,PREX2,PXK,GNG12-AS1,ID4,HCK,ZNF385D,FGL1,MYO1G,FAM107A,RANBP3L,ZNF98,APOD,PTGDS,CNTN5
80,ADARB2,GBP2,RMST,ADAM12,GPR37L1,NCKAP5,SYNPR,TLL1,AMER2,GNLY,PCSK5,SFMBT2,LOC124909494,PRDM16,GNG12,DOCK8,LRP4,ARRDC5,PLD5,SLC6A12,PDGFD,SLC25A48,MUSTN1,SEMA3E
81,GFAP,PDE4B,WIF1,CLDND1,ZNF804A,JUNB,THSD4,BLNK,LINC01446,CNR1,PTGDS,LINC00924,ALDH1A1,HCK,CHI3L1,NXN,CEBPD,SLC22A3,LINC01098,THSD7A,ATP6V0D2,JCHAIN,AIF1L,SDC4
82,KCNE4,RASGEF1B,MAML2,SLCO1A2,GLUL,ADGRL4,KLHL1,BNC2,LGALS9,SYK,HPSE2,RAD51B,SDC4,FYB1,LRMDA,TRPS1,CHST11,MLC1,TPRG1,ATP1A2,LOC101929528,FAM107A,TM4SF18,CALB2
83,LRRC1,BMP2K,ROBO2,PEAR1,NID1,RELN,LINC01445,DOCK10,FKBP5,LY96,TGM2,PSD2,GALNTL6,SP100,PHF21B,ITGAL,GPR37L1,LINC01091,ARRDC5,GPC3,CXCL16,TAFA4,SYNPR,LINC01748
84,GASK1B-AS1,TGFB2,CERCAM,RGCC,DAAM2,GPX3,PTGDS,CNTN2,PCAT1,ELMO1,ADAM28,VSIR,AHNAK,CPED1,HOXA10,RERG,CD82,CD74,TSHZ2,MAML3,ZFP36,MAML3,SYNE2,LOC105375483
85,CFAP47,MYO1E,CLEC5A,ARHGAP15,LINC00548,GNLY,B2M,HSPA2,SERPINH1,SRGAP1,MBP,CTSB,DACH2,MAML2,TTR,GSN,FTL,NTNG1,APOD,STK33,RGMA,RUNX2,LOC107985126,PTGDS
86,SRGAP1,EYA2,NFIA,PIP4K2A,CARD8,NOSTRIN,PECAM1,ARHGAP15,DPP10,SLC39A12,TMTC2,LINC02798,B2M,F11-AS1,LOC102546299,ARHGAP15,FGD4,SLC1A3,PTGDS,AMER2,C8orf34,LUZP2,NHSL1,SLC1A3
87,LINC03069,PDLIM5,TENM1,LUCAT1,PRELID2,VSIR,OBI1-AS1,SYNPR,PPFIBP2,HCK,LOC102546299,FBXL7,EYA2,LAMA3,HIF3A,LOC101927314,GREM1,LINC00326,VEGFA,CA8,SLCO1C1,SEPTIN4-AS1,FGL2,DOCK8
88,ARHGAP31,CD9,GPRC5B,LINC02930,PSD2,PECAM1,PRELP,SYK,ZNF804A,TMEM98,SYNE2,VSIG4,TXNIP,DUSP1,SGCZ,PAWR,MT1X,FLVCR2,LOC285626,SLC24A3,CHST11,LOC124903183,RNASET2,DUSP1
89,ERBIN,ARHGAP24,NCKAP5,GFAP,SLC1A3,LY96,ADIRF,LUZP2,LRP4,GRIN2C,SDK1,PBX3,PXK,FOS,CD163,HS3ST5,PRDM16,PWRN1,LOC101927141,TRPC6,IL1R1,SCIN,GJA4,CLEC5A
90,SLC7A2,CEBPD,SLC7A5,L3MBTL4,PDE4B,SIPA1,CXCL14,ITPR2,CLEC5A,LOC107985126,GRIN3A,KANK1,HEPACAM,CNTN5,C1QB,LINC00320,ZC3HAV1,ACSBG1,HIP1,OSMR,PTH1R,CLIC1,GALNT15,GASK1B-AS1
91,SLC39A12,SEMA3E,GPX3,HIF3A,MMD2,CSPG4,RASGEF1C,RNF220,ITPR2,TMT1A,LINC01221,CPED1,BCL6,CNTN2,TSHZ2,ZCCHC24,COL9A1,CDH20,HS3ST5,ZFHX4,CAPN3,HES5,ARHGAP42,CDH20
92,SYNE2,HLA-DRA,CNTN5,SASH1,PXK,LINC01098,TMEM132C,LHFPL3,SLC25A18,LYN,NOS1,LRRC1,MUSTN1,IFI44,TXNIP,KCTD12,LOC102724768,TAGLN2,ADGRV1,FKBP5,CD163,GRAMD2B,FOXD1,BGN
93,CD34,ARHGAP22,IPCEF1,CEBPD,SH3TC2-DT,TMEM156,SLC25A18,LINC01317,FAM177B,NTNG1,FAM177B,PDE3A,TENM1,EDNRA,DSEL-AS1,ZNF804A,CERCAM,CRISPLD2,GPR149,LPAR5,LRRC3B,TRIM38,CALCRL,ZFHX4
94,DUSP1,GFAP,CDH20,NUPR1,LUZP2,XRCC4,NEAT1,HS3ST4,TGFB2,ZNF804A,ROR1,CSF1R,LINC02798,MS4A4A,PRELID2,LRMDA,MT1M,MYL9,PRDM16-DT,LRMDA,MAML3,CNTN5,TAGLN2,NEAT1
95,NUPR1,SELPLG,CNR1,SEMA5A,TTYH2,NID1,ADGRL4,PELI1,CARD11,EGFR,GJA1,TGFB2,PDZRN4,TMTC2,PDGFD,CHI3L1,HSPA1A,TMEM51,VSIR,LRP4,ZCCHC24,AQP1,CD74,TNFRSF1B
96,CYBA,PIK3CG,SASH1,ITPKB,GLIS3,TRIM56,SLC39A12,ADAMTS17,LRRC3B,SYTL3,STAB1,FGFR2,CYP27A1,TRPS1,LYPD6,MARCHF3,DISP1,CHD7,SDC4,NFIA,H2AC6,ID4,DCN,ARHGAP24
