,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
31,SAMD4A,SRGAP1,FGFR3,PDK4,OBI1-AS1,CXCL16,PLXDC2,APOD,TENM1,NOSTRIN,CSRP1,NDRG2,FGFR2,SLAMF1,SYTL3,RYR3,QKI,H1-3,GJA1,LAMA4,PLD4,TTR,PRELP,LINC02884
32,PHYHD1,LOC283194,TGFB2,LRRC3B,MYRF,DAAM2,LINC00548,TNS3,EMX2OS,GRIN2C,PLCG2,NTNG1,LINC01010,NDRG2,ALDH1L1,PRELID2,ERBB4,ITPKB,ADARB2,ADARB2,ATP1A2,ABCA8,EVA1B,EMP2
33,STEAP1B,EYA2,LINC00326,NUPR1,FAM177B,MSR1,FAM107A,GNG12,ARHGAP24,GNLY,PARVG,CDK18,SEMA3C,WIF1,SGO1-AS1,NDRG2,ITM2A,LINC01091,LRRC3B,SLC7A7,PDGFD,SAMMSON,NDRG1,HPN-AS1
34,LINC02742,EMP2,ALDH1L1,SLC44A1,MUSTN1,MIR4300HG,TNS3,LINC00924,MECOM,PREX2,LINC00609,TENT5A,PARD3B,SLCO1A2,HCK,GNG12,TSC22D4,C3,CNTN5,PLCG2,HCK,CRYAB,CD74,H2AC6
35,ITIH5,ACSL1,FAM177B,CPQ,RELN,IFI16,SDK1,DSEL-AS1,ALOX15B,PLD5,TENM1,NEAT1,EBI3,FGFR2,L3MBTL4,ADARB2,TMEM98,PRKCQ,CHI3L1,RGMA,ITGA8,PRDM16,S100A4,GALNTL6
36,MAML2,SLC6A12,DUSP1,ANGPT1,LUCAT1,TRIM22,DPP10,MS4A4E,EDNRA,ADARB2,PDLIM5,STEAP1B,CD96,CSF2RA,SEMA3E,LAMA3,RAB31,SGO1-AS1,FSHR,PRKCQ,ABCA8,PARD3B,SLC7A2,SLC25A18
37,PDZRN4,PRKCH,B2M,SLC27A6,EFEMP1,CDKN1A,SLCO1C1,CPED1,VAV3,MIR3681HG,PPP1R3C,ITGAX,KIAA1217,ARHGAP31,GFAP,GREM1,CPED1,APBB1IP,LAT2,NXN,PLXDC2,GEM,F3,CD74
38,MIR4300HG,TNS1,MYO15B,GPRC5B,LINC01317,RUNX1,ADGRE2,LOC102546299,TXNIP,CNTN5,CECR2,MAF,MAML2,NEAT1,ND6,ATP1A2,ADAM33,SLC2A5,SYTL3,STON2,RFTN2,NEAT1,GREM1,EGFR
39,KLF4,TGFB2,WIF1,GNG12-AS1,SPATA13,FHL5,HPSE2,LHFPL3,WIF1,FAM177B,B2M,ETS1,STEAP1B,SLC1A3,LINC01748,EDA,DUSP1,P2RY8,LINC00548,EGFR,H2AC6,HK2,HLA-E,DAAM2
40,NFATC2,GLDN,LINC01098,ND6,CT69,RELN,OBI1-AS1,HSPA2,SPP1,EGFR,ZNF804A,GPC5,ACSS1,PDGFD,MAML2,NPAS3,MGC4859,WHRN,RANBP3L,LINC01821,PARD3B,H2AC6,ALDH1L1,C5orf64
41,SDC4,GREM1,SPP1,CEBPD,AGMO,TAGLN,RIN2,TANC1,CYBRD1,ABCA8,EFHD1,ZNF804A,BCL6,PARP9,ARHGAP15,HPSE2,MARCKSL1,ND6,NEAT1,CPED1,IFNG-AS1,MRC2,SCD,ARHGAP31
42,PRRX1,RGCC,MT2A,HLA-C,FYB1,ADAMTS9-AS2,ATP10A,IGFBP5,B2M,HLA-C,C10orf90,GALNTL6,PHF21B,GPR37L1,HIF3A,PLCG2,SYTL3,HGF,NDRG2,LRRC3B,DUSP1,STK32A,MUSTN1,IFNG-AS1
43,SYTL3,CD9,FKBP5,HCK,PREX1,LCP2,SEMA3E,LNCAROD,CXCL14,FGFR3,ZC3HAV1,B2M,SLC25A48,ITGB2,NPAS3,HHATL,ERBB3,CYBA,CA8,IGFBP7,LOC285626,SEPTIN4-AS1,CDC42EP4,EMX2OS
44,AHNAK,CIITA,CD74,APOD,PLPPR1,LOC124909494,LINC01098,IL1RAPL2,LINC01445,CYBRD1,OLIG1,HIF3A,MT2A,IGFBP7,AQP4,STX11,AHNAK,EZR,HLA-B,EDA,ZNF98,SLC39A12,TYMP,MECOM
45,HCK,GPNMB,HSPB1,P2RY12,SLC39A12,ADAM33,CHRM2,ERBB4,SEMA3E,LINC03002,VRK2,SLCO1C1,GABRE,LINC01099,CHRM2,LINC00320,GPRC5B,MAML3,RAD51B,SLC14A1,CALB2,GREM1,PRKCQ,BNC2
46,CYBA,IFI44L,HCK,CD74,SEMA3E,BCHE,C10orf90,SYK,LPAR5,NEAT1,PLD5,VWA1,TXNIP,SP100,RANBP3L,MAML2,SMOC1,NHSL1,LINC01098,LRP4,INPP5D,ITGA8,PLIN5,RGS10
47,KCNJ10,RASGRP3,SYTL3,UST,LINC02511,LINC01036,FAM107B,ADAMTS4,CBLN2,LINC01098,FAM177B,ADARB2,CD9,LINC00548,SLC25A18,EGFR,SLA,NDRG2,COL21A1,ND6,PTGDS,GJA1,LGALS9,SYTL3
48,LINC03069,PCAT1,SLC7A2,C1QC,NKD1,EGLN3,PECAM1,CTSB,PARD3B,LRRC3B,DOCK1,CD53,FRMD4B,PRDM16,SMOC1,ARHGAP42,ND6,MYO15B,NXPH1,STK33,FKBP5,PON2,ZFHX3,LNCAROD
49,GJA1,GJA1,PON2,LINC00320,LINC02742,LOC100506474,KLHL1,GPC5,MAF,NPAS3,CD14,GPNMB,HLA-C,GJA1,DSEL-AS1,CHRM5,EGFR,LINC01098,FGFR2,EMP2,C10orf90,EMX2OS,DENND3,COL5A3
50,ND6,ZBTB20,ARHGAP31,TPD52L1,PTN,EGFR,CXCL14,CRYAB,ALDH1L1,LINC02798,FAT4,DHRS3,LRP4,ADAM33,GJA1,LOC102546299,H2AC6,NDST4,LINC01317,GPC3,HLA-B,EFEMP1,MAF,GRAMD2B
51,CASC17,TAGLN,RFTN2,ERBB4,GRAMD2B,APOD,LINC01445,B2M,EGFR,ZNF385D,CBLN2,SLC25A48,RELN,PDK4,ZBTB20,ANLN,RHBDF2,GALNTL6,HIF3A,LINC01098,HS3ST2,GFAP,AIF1L,LINC00609
52,NWD1,DLEU1,ALDH1A1,SOX10,THSD7A,MMRN1,CD14,PLCG2,LGALS9,GLI3,STAB1,ADAMTS17,PREX2,SFMBT2,NEAT1,BCHE,TGFB2,LINC00639,ZNF804A,PNOC,APCDD1,EMP2,RELN,MSR1
53,TMT1A,GSN,ADARB2,DUSP1,LAPTM5,WWTR1,ATP1B2,GALNTL6,PTGDS,RASAL3,KCNJ10,STK33,APOC1,CYP27A1,CHRM5,SYTL3,ANGPTL4,PPP1R3C,LOC101927314,LOC101928516,ALDH1L1,ZCCHC24,SLC14A1,PLXDC2
54,HLA-DRA,CPVL,HLA-C,MGAM,SOX6,CSPG4,ZNF804A,HLA-DPB1,PECAM1,PLXDC2,TMT1A,NFIA,MUSTN1,SULF1,SRGAP1,STEAP1B,GPR17,THSD4,DACH2,BOK,ITGAL,SLC7A7,LINC00548,CD99
55,ANGPT1,TES,MRC1,PLD5,DAAM2,SVIL,CRISPLD2,RASSF2,LRP4,ZFHX4-AS1,NXN,LINC00877,SYTL3,SEMA3C,ARHGAP22,SEMA3C,ETNPPL,LINC01630,PRELID2,DAPK2,C11orf96,SLC1A3,SLC6A12,FGFR2
56,CD74,GFAP,ARHGAP15,FAM107A,CLDN11,IRAK3,C3,MS4A7,PLD5,FGFR2,ALDH1A1,TTYH2,GNG12-AS1,STK32B,KCNIP1,KMO,OBI1-AS1,FCGBP,GRIK1,CD74,OBI1-AS1,TMIGD3,THSD7A,ABCA8
57,CRISPLD2,PADI2,LINC01684,GCNT2,KIAA1755,TMEM132C,SLA,SLC2A5,SLC25A48,ALDH1L1,ADAMTS17,PDZRN4,C11orf96,KCNE4,PON2,CCN2,ADCY7,MOBP,APOD,MAF,RAD51B,RHOJ,LDB3,MIR3681HG
58,MYRF,SEMA3E,CPED1,ST6GALNAC3,LINC01036,LINC01098,SPP1,RMST,CA2,LUCAT1,NFATC2,GLUL,HEPACAM,CPED1,ITGA1,PBX3,LINC03002,EBF1,AQP4,HGF,TMC6,DUSP1,SLC7A7,AIF1L
59,COL6A2,CDKN1C,LINC01317,HLA-A,CBLN2,CD93,LAIR1,C10orf90,SYTL3,FKBP5,SLC25A18,CPED1,EGFR,ALDH1L1,LRP4,LINC00298,KAT2B,NINJ2,ARHGAP6,SYTL3,LNCAROD,ADARB2,IFITM1,ABCC9
60,CSF1R,VIM,ARHGAP42,LHFPL2,IGFBP5,KCNIP1,IL1R1,PON2,PHYHD1,SYK,ACACB,FGFR2,TRIM22,IKZF1,LOC285626,SDK1,H2BC4,CRISPLD2,PTN,ABI3BP,NDRG2,GRAMD2B,TNFAIP3,LINC02899
61,TRPS1,GALNT15,CDK18,LUCAT1,ANOS1,KAT2B,CPED1,PDGFD,GPRIN3,MAF,LINC00639,BTNL9,LOC124909494,FLI1,SULF1,GRIK1,CNDP1,PDK4,ABCA1,AASS,SYTL3,ETNPPL,GALNT15,CCDC200
62,SEMA3E,CPA6,TXNIP,CD58,HCK,LINC02328,FA2H,PCAT19,FGFR2,SLC7A5,NKD1,FKBP5,CXCL14,F11-AS1,HEPACAM,DOCK8,STON2,PTGDS,HCK,LINC01877,LINC00548,CD74,APOLD1,RAD51B
63,GBP2,LRP4,ABCA8,NTN1,LAT2,ATP1A2,ITPR2,CYBA,IGFBP5,LYN,HIF3A,ATP1B2,NFIA,CD22,FLT1,QKI,ADGRL4,LINC01446,ZFP36L1,PAX6-AS1,RBM47,STEAP1B,A2M,PLEKHH2
64,ADAM33,LOC613266,PRELP,LYPD6,PLXDC2,TNS3,EGFR,IKZF1,FAM177B,BCAS1,ITGA8,CSF1R,LOC101927745,EBF1,ANO2,ITGAL,EZR,SLC22A3,LOC285626,CA8,PTH1R,ID4,CD79B,DUSP1
65,RIN2,LRRC3B,CTSB,CPM,BMPR1B,RGS5,ABI3BP,TBXAS1,SERPINH1,APOLD1,CHST11,CT69,IFNG-AS1,ITGB5,KLHL1,LINC01098,MRC1,LOC100507336,ZFHX3,RNF144B,EMP2,ADAM33,AQP1,LHFPL2
66,DUSP1,SDK1,TSHZ2,FOS,LINC00548,ATP1B2,LRP4,TASL,LINC00548,LY96,TPD52L1,PLSCR4,UGT8,CD84,NFIA,ND6,CD74,LRP4,FAM107A,CDH23,LINC00499,SCIN,SEMA3E,MRC1
67,ITPKB,UTRN,FBXL7,HIF3A,MYO5B,ZHX2,LCP2,PLIN2,SLC1A3,CHI3L1,H1-3,ERMN,MAL,LINC01010,VAV3,CD74,HSPB1,ZNF804B,SLCO1A2,SHROOM4,HEPACAM,LRRC63,HSPB1,ZFP36L2
68,CD44,NUPR1,THSD7A,EGFR,APOD,ADIPOR2,RGCC,NEAT1,PRELID2,DNAH11,WNT5A,P2RY8,APOE,EGFR,ANGPT1,LRRC63,BMPR1B,MX2,ACSS1,ZFP36L1,EYA1,COL5A3,GADD45B,PIK3AP1
69,GLIS3,COL4A4,PRDM16,GFAP,LRP4,MID1,GLUL,C1QB,PARD3,MYT1,LINC00548,LAT2,MT1E,TMC8,LOC101926964,PLEKHB1,TLR1,ACSBG1,MEGF10,SULF2,SLCO1C1,POSTN,RNASET2,LINC02232
70,ARHGAP15,LOC100507336,HEPACAM,SEMA3E,TMT1A,SLC6A13,ZNF385D,ARRDC5,ZNF385D,MMD2,HPSE2,LINC02742,EYA2,ETNPPL,ATP6V0D2,ITPR2,TAFA4,ADARB2,RGS12,DUSP1,PBX3,CDC42EP4,HLA-B,SH3TC2
71,SEMA3C,MIR3667HG,SLC25A48,RANBP3L,NFIA,STX11,ADIRF,STON2,MRC1,CYBA,SPATA13,PTGDS,KCTD12,SLA,FGFR2,ZCCHC24,HLA-B,BEST1,STEAP1B,TMCC3,CXCL14,SLC25A48,RIN2,MAML3
72,KCNN3,SLC1A3,NLRP1,EYA2,H2AC6,PLEKHH2,SLC39A12,HLA-E,PBX3,SLC39A12,EYA1,SLC31A2,ITGB5,MAML2,CSRP1,DSEL-AS1,WDR49,STEAP1B,TENM1,SEMA3E,LINC00639,CNKSR3,TTYH2,AQP4
73,CHST11,LINC01010,TRIM22,KIT,PCDH11Y,CASP1,ALPK1,ABCA8,PLIN5,ERBB4,LTC4S,RASGEF1B,C3,ALOX15B,KCNE4,LINC00499,TMT1A,VSIG4,KIT,RCSD1,MIR3681HG,LRP4,PCDH11Y,ABI3BP
74,ERBB4,LNCAROD,ZFP36L2,LRRC1,SPON1,LINC02742,EMP2,FCER1G,ADAMTSL1,TMT1A,HCK,CBLN2,AHNAK,ERMN,GRAMD2B,MCAM,RFTN2,PAPLN,ZC3HAV1,LOC107985126,CBLN2,STON2,LINC00276,LINC01088
75,TPD52L1,ST18,SLCO1C1,RHBDF2,FA2H,COL4A1,ABCA8,PRELID2,HPSE2,PHYHD1,ALDH1L1,VSIR,ARHGAP6,NDRG1,LINC00472,ENPP2,MT2A,HCK,LHFPL2,LY86,ROR2,BCAS1,RFX4,MOG
76,PRELP,THSD4,EBF1,TLR1,CA2,HS3ST2,ALDH1L1,FSHR,SLC6A12,LOC124909494,ITPKB,GNG12,H2AC6,ACACB,ZNF98,GJA1,RIPOR3,PLD1,ATP11C,PAWR,PIK3AP1,BBOX1,RGCC,INPP5D
77,IGFBP5,TPRG1,LHFPL2,PCDH11Y,CDK18,NEDD9,FGFR3,CD83,ERBB4,LOC101927314,PHF21B,CD74,CA8,TXNIP,RHBDF2,ARHGAP15,CMTM7,ERBB3,ZFHX4,LINC02884,FBXL7,AQP1,CD99,TRIM22
78,LOC285626,DAAM2,PHF21B,ITGA1,DACH2,PHYHD1,CD74,BNC2,LINC01098,NTNG1,FAM107A,LYN,S100Z,LTBP1,CD74,F11-AS1,PRDM16,PLAC8,CBLN2,TCF7L1,VAV3,CHST11,FOXC1,GASK1B-AS1
79,GPR37L1,TAGLN2,LHFPL3,NXN,GJA1,MAN2A1,EMX2OS,ACSBG1,ZFHX4,HPGDS,NDRG2,CA2,HLA-B,SLC25A18,QKI,L3MBTL4,PDE4B,ZFHX4,ABCC9,TRPC6,LINC01877,SPHKAP,DOCK8,RFTN2
80,PIEZO2,IRAK3,IFNG-AS1,QKI,TTYH2,STK32B,CD37,PLTP,SYT6,TMEM98,KCNN3,PCAT1,WIF1,FOS,KCNK13,CDH1,GLDN,CSF1R,EMX2,HEY2-AS1,TPD52L1,MECOM,CST3,MRC2
81,TSHZ2,HGF,TNFAIP8,PLIN5,PARP9,LNC-LBCS,MRC1,FOXP2,EZR,HSPB1,LINC01299,SEMA3C,TNFAIP8,KCNJ10,LNCAROD,BOK,SLCO2B1,ARHGAP31,RNF220,SELENOP,CHI3L1,RREB1,PLPP3,ROBO2
82,C11orf96,ABCA1,ACSS1,ITPR2,ROR1,RAB20,LHFPL3,SP100,RYR3,STON2,DOCK5,SYTL3,FAT4,PIK3CG,C1QB,CHI3L1,SYNE2,CHI3L1,LINC00639,CCDC200,RGMA,TRIM22,DBNDD2,VSIR
83,SLC5A11,HLA-DPA1,ZCCHC24,PGM5,PCED1B,KLF4,RELN,ROR2,HEPACAM,HCK,ARHGAP42,FCER1G,FLI1,CD58,AHNAK,CDC42EP4,PRDM16-DT,PLIN2,CXCL14,LOC100507336,AQP4,CEBPD,ZFP36,ACSBG1
84,ATP10A,TLR2,SMOC1,ARHGAP31,MGST1,FGFR3,SEMA3C,IFI16,CARD11,CFAP47,STEAP1B,OLIG1,EMX2OS,SLC1A3-AS1,MEIS1,CEBPD,SAMMSON,EVI2A,SLC39A12,IKZF1,LRP4,SHROOM4,LINC01821,PBX3
85,LINC00499,PLSCR1,ETNPPL,RIN3,CPVL,LHFPL3,MECOM,CALCR,SLA,IGFBP5,HEY2-AS1,PADI2,CTSB,CD74,STEAP1B,LOC107985126,LINC01317,SLC1A3,MAL,COL4A1,SLC25A48,CD14,MRC1,LPAR1
86,RBM47,ZFP36L2,LOC100507336,CGNL1,FBXL7,ANLN,PON2,LGALS9,P2RY8,NXN,GRAP2,EMX2OS,ASPA,MAF,DOCK2,DPP10,SGO1-AS1,HLA-B,NDRG1,SLC2A5,ZFP36L1,LAMA1,PYCARD,EBF1
87,LINC01500,ZNF366,MARCKSL1,XYLT1,CARD8,LINC01500,LRP2,ITPKB,ABCA8,CNR1,SLC25A48,ZNF385D,HPSE2,FOXO1,RFTN2,CARD11,LINC02997,LRMDA,EYA2,FYB1,YAP1,HSPA1A,SOX10,STEAP1B
88,TBX2,IL18R1,GLI3,SLC7A2,TRIM22,GNG12,PREX2,TSHZ2,PLXDC2,GJA1,PREX2,FBXL7,PDGFRA,PLXDC2,NR2F2-AS1,TMEM63A,EPSTI1,LOC285626,CLIC4,YAP1,NHSL1,EBF1,DDIT4,NXN
89,GPRC5B,RFX4,KCNJ10,YAP1,RHOJ,SLA,TNFAIP8,VSIR,IGFBP7,SLC25A18,HTR2C,APOLD1,MMD2,FYB1,APCDD1,LRMDA,CD83,ST18,XYLT1,WIPF1,CCDC26,CPED1,SYK,PLLP
90,SLC22A3,CERCAM,CXCL14,RASSF2,SLC14A1,FLT1,COLEC12,RNF144B,MAL,PLCE1,FLT1,CD58,MYRF,ID4,F11-AS1,TBXAS1,CHST3,NOTCH2,CDH1,ARHGEF26,SLC4A4,FGD3,ABTB3,CD22
91,ADAMTS1,LINC01736,CDC42EP4,LINC01748,EYA1,PCK1,SLC52A3,GLUL,LTC4S,STEAP1B,KIAA1217,TPRG1,MILR1,TNFAIP8,BNC2,UGT8,ABCA8,PECAM1,COL5A3,ERBB3,MYH11,RGMA,IL17RA,NHSL1
92,MAF,MBP,LINC02263,CLCA4,LOC124903183,ZNF98,CD99,CDC42EP4,SLCO1C1,PIEZO2,LINC02742,HLA-C,ARHGAP31,C11orf96,HIP1,ASPA,SNTB1,HLA-DRA,KCNE4,LINC01010,GALNTL6,LOC124903183,GBP2,CDH1
93,LMNTD1,PLIN5,TTYH2,LRP4,LOC285626,HEPN1,EDA,LINC01317,AQP4,MLC1,NEAT1,SLC6A12,PON2,P2RY8,SELENOP,SLC1A3,MT1F,SH3TC2,IGFBP5,IFITM3,SLC1A3,CX3CR1,TMEM123,COLEC12
94,NPL,LINC00548,LOC285626,FGF2,FBN2,ROR2,PGR,FKBP5,RGCC,ARHGAP15,SYTL3,TNFAIP8,LTC4S,CIITA,ITIH5,CRISPLD2,RGS20,LOC283194,OBI1-AS1,CSRP1,EPCAM-DT,GNG11,PCED1B,FGD3
95,MSR1,GBP2,SLC39A12,CSRP1,C3,CD55,VAV3,LOC101928516,GPNMB,NLRP1,SLC7A2,ATP6V0D2,ALDH1L1,SLC39A12,RASSF8,LINC02997,DISC1FP1,SP110,SLC7A5,APCDD1,CECR2,PBX3,SYNPR,STON2
96,LINC02055,ZNF98,PTGDS,PRDM16,KCNMB1,TFPI,LINC00877,ADGRL4,EDA,RGCC,LOC102546299,EZR,LGR5,AMER2,FSHR,BMP6,LINC01470,CALB2,PRDM16,AQP4,TMEM63A,SLC35D2,DISC1FP1,HLA-E
