,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
10,PARD3,ACSL1,PDZRN4,QDPR,C7,COX3,ARHGAP24,PITPNC1,CDH20,HLA-DPA1,CDC14A,CYP27A1,GFAP,ADARB2,PECAM1,ZFP36L1,ND2,MAML2,C7,ERBB4,LINC01317,CNTN5,AKR1C2,EGFR
11,SAMD4A,CHI3L1,QKI,MAN2A1,COL6A3,PLCG2,PLXDC2,ERBB4,NXN,LYPD6,FCGR2B,FKBP5,GALNTL6,CSRP1,ADARB2,PECAM1,HIF3A,EGFR,RGL3,FAM177B,ERBB4,KLF4,NEAT1,IGFBP5
12,HIF3A,PREX1,ZNF804A,ANLN,FGFR3,SYTL4,TSHZ2,RAD51B,HS3ST2,NXN,CSF2RA,PHYHD1,PARD3,LNCAROD,FOXO1,IFI16,ZBTB20,MAML3,FGFR3,APOLD1,GFAP,HSPA1A,PLCG2,NPAS3
13,PLCG2,SCIN,FKBP5,LOC105371366,EGFR,CYTB,ITPR2,LINC00609,GFAP,ZNF385D,LNCAROD,NLRC5,MMD2,RFTN2,ERBB4,PDLIM5,HIP1,CALB2,ERBB4,ADAMTS9-AS2,SLC9A9,EGFR,CDC42EP4,LINC00609
14,ITPKB,RASGRP3,HSPB1,EPCAM-DT,VWF,CDKN1A,NEAT1,EMID1,QKI,NEAT1,ADARB2,ZNF804A,STEAP1B,PARVG,NDRG2,IGFBP7,ERBB4,RGS12,ZNF804A,IGFBP5,PLCG2,C11orf96,LINC00472,LINC01317
15,RANBP3L,SPP1,VAV3,LRRC1,AGMO,SRGN,VAV3,CDK18,TNS3,NLRC5,PLA2G4A,PARD3,LINC00609,FCGR2B,THSD4,STAB1,EGFR,GALNTL6,LINC01036,TSHZ2,MMD2,GFAP,GPX3,RGS12
16,GLIS3,PRKCH,DOCK10,SELENOP,CLDN11,FKBP5,SDK1,GALNTL6,NEAT1,MMD2,RFTN2,DPEP2,LRMDA,LINC00351,ANLN,RREB1,TMEM132C,GFAP,AGMO,MAF,NPAS3,P2RX1,APOD,LHFPL2
17,SASH1,FGD4,GFAP,ITPR2,CT69,RHOJ,GFAP,RNF144B,ADGRV1,LUZP2,NEAT1,ADAMTSL1,AKAP13,NFATC2,VRK2,UACA,KAT2B,NXN,VWF,MAML3,RAD51B,RELN,RANBP3L,QKI
18,MAML2,GSN,SEMA3C,ERBIN,ROR1,NEDD9,THSD7A,SLC24A3,RUNX1,PLXDC2,SGCZ,PDZRN4,TFEB,PLD5,EGFR,HIF3A,NPAS3,ERBB4,XYLT1,FAM107B,ADGRV1,CRYAB,DCN,LINC02798
19,CDH23,PLCG2,THSD7A,APOLD1,SYK,ITPR2,SASH1,SYNPR,CA8,RNF144B,CHST11,VAV3,PLXDC2,FKBP5,LPCAT2,TNFRSF1B,QKI,ZNF385D,SYK,TRPM3,GALNTL6,SDK1,GRAMD2B,ABTB3
20,ZBTB20,FLT1,PARD3,SLC44A1,ITGAL,PELI1,ND6,NEAT1,PECAM1,DISC1,NFIA,SEMA3E,KIAA1217,CSF2RA,SLC25A48,BNC2,KIF19,HSPB1,DPP10,GALNTL6,NFIA,DUSP1,BCL6,GFAP
21,PRDM16,DOCK5,RAD51B,LRP4,RGL3,ITGA2,SYTL3,ADGRG1,PLXDC2,SLC7A5,PARVG,PLTP,CDH20,NXN,RYR3,KANK1,MEGF11,NDRG2,COL6A3,ZNF385D,TRPM3,HSPA1B,ZFP36L1,NXN
22,TPD52L1,MYO1E,HSPA1B,HSPA1A,SYTL3,GNLY,ZNF804A,TNS1,ITPR2,PRUNE2,ACACB,PSD2,CA8,TSHZ2,RERG,IL4R,VCAN,NPAS3,RAD51B,SULF2,SLC4A4,GALNTL6,ZBTB20,GJA1
23,SLC7A2,MBP,BCL6,CPQ,DACH2,ADIPOR2,ADGRV1,ZBTB20,APOLD1,GRIN2C,CSRP1,SNTB1,ADGRV1,NFIA,MAML2,TGFBR2,MIR3667HG,NFIA,ITGAL,LINC01317,ATP1A2,TANC1,SLC16A12,RAD51B
24,GSN,LOC283194,HSPA1A,TMT1A,FGFR2,GPR37L1,ADARB2,SEMA3E,SASH1,LMNTD1,NXN,HS3ST2,LINC02798,ACACB,ZBTB20,ATP10A,CDH19,LINC01091,CLDN11,SMOC1,TMTC2,RAD51B,RIPOR3,ADARB2
25,RIN2,HS3ST4,B2M,PLD5,KIAA1217,WWTR1,QKI,PBX3,TMEM132C,RYR3,LRRC3B,APOLD1,NLRC5,FGFR3,LINC00298,DIPK2B,PDZRN4,CDKN2B-AS1,CT69,H2AC6,SPTLC3,COL21A1,CEBPD,LYPD6
26,CSRP1,SLC1A3,SASH1,TPD52L1,SOX6,ST6GALNAC3,APOLD1,ZFHX4,RAD51B,HSPA1A,KIAA1217,NTNG1,TPRG1,TGM2,ADAMTS9-AS2,IFI27,ALK,TMEM132C,RUNX2,OBI1-AS1,HIF3A,WWTR1,BGN,H2AC6
27,LINC00511,RANBP3L,CRYAB,LDLRAD3,LINC01036,IFI16,RAD51B,MAML3,ACACB,LRRC3B,NFATC2,RUNX1,APOLD1,KIAA1217,QKI,FLT1,APOLD1,RGS5,CNTN5,ZBTB20,APOLD1,HIPK2,EGFR,PLCG2
28,FAM107A,RUNX1,CDH20,PRUNE2,MYO5B,PALM2AKAP2,RELN,FGF2,ERBB4,RMST,FKBP5,LNC-LBCS,HPSE2,NEAT1,HHATL,INPP5D,STK32A,LINC02997,NXPH1,ARHGAP31,HS3ST2,FAXDC2,HSPB1,ABI3BP
29,NWD1,TMEM51,ND6,VSIR,PLPPR1,ATP11C,PDE3A,TMEM132C,CHST11,GNLY,ADAMTS17,WIF1,CHRM2,SLAMF1,L3MBTL4,C7,SMOC1,SLC1A3,KIAA1217,RGS12,LINC02742,APOLD1,USP53,SLC25A18
30,CHST11,TPRG1,GLUL,ELMO1,RUNX2,TRIM56,CDK18,GPC5,CNTN5,GFAP,ZBTB20,DHRS3,PLCG2,ADAMTS17,NTNG1,CXCL2,GFAP,LINC00877,PLCG2,SLC25A48,ND6,MYO16,ZCCHC24,LINC02742
31,MIR4300HG,CLEC5A,MAML2,AMER2,CNTN5,ADAMTS1,FKBP5,FAM107B,ARHGAP24,SGO1-AS1,PLD5,LINC00609,IGFBP5,WIF1,GRIK1,MT1M,CDH20,PBX3,COL21A1,SGO1-AS1,EPS8,PSD2,DNAH11,NEAT1
32,LINC00472,SLA,TGFB2,SPP1,HPGDS,PITPNC1,IGFBP5,LHFPL2,IGFBP5,RAD51B,PRELID2,STK33,CREB5,PECAM1,NEAT1,EPSTI1,RAB31,TSHZ2,MIR4300HG,NPAS3,FKBP5,ADARB2,SRPX2,FAT4
33,PLCE1,PELI1,ERBB4,EFHD1,LAT2,PLSCR4,CA8,NOS1,CABLES1,LYN,LINC00609,HIF3A,MAML2,GPR37L1,NPAS3,LOC105374438,MT3,GEM,ZFHX3,LINC00609,CNTN5,HIF3A,LAMA2,L3MBTL4
34,FKBP5,ARHGAP24,ZNRF3,LAMP2,RAD51B,TNFRSF10D,PRELP,LOC102546299,PRELP,PLPPR1,ZNF804A,ADAMTS17,KLHL1,LTBP1,KCNN3,TRGC2,CRISPLD2,GRIN3A,SOX6,PPFIBP2,TSHZ2,HIF1A,SLC7A2,ATP1A2
35,BCL6,ARHGAP6,GALNTL6,PIEZO2,PRDM16,ADAMTS9-AS2,SPP1,SEMA3C,ZBTB20,BCAS1,CBLN2,NFIA,PLTP,GREM1,NXN,ANXA3,SEMA3E,RERG,LAT2,ZFHX4,SEMA3E,LRMDA,SASH1,SEMA3E
36,ERBIN,ARHGAP15,CBLN2,ADIPOR2,SULF1,TNS1,PARD3,ROR1,PARD3,KCNN3,TPD52L1,RHOJ,CFAP47,FGFR2,LOC102546299,TFPI,RIN2,NUPR1,FGFR2,ROR1,L3MBTL4,RASGEF1C,SLC6A12,ADGRV1
37,ADAM12,BNC2,MAF,SLC39A11,SLC6A12,TMEM51,LOC105377448,QKI,ZNF804A,ITPR2,MYO16,FLI1,LNC-LBCS,IGFBP7,GFAP,CLEC7A,BCL6,LHFPL2,NEAT1,DPP10,PLXDC2,ARHGAP6,COL4A1,PLXDC2
38,OLMALINC,FCGBP,CNTN5,RELN,PLXDC2,SVIL,HPSE2,FAXDC2,ADARB2,HSPB1,LRRC63,NPSR1,PDE3A,ITPKB,NFIA,THSD4,HSPB1,IGFBP5,ADAMTS9-AS2,RIPOR3,FGFR2,EMP2,ARHGAP42,TRPM3
39,KCNE4,GLDN,LINC02742,GPRC5B,XYLT1,CD55,CABLES1,NXN,TENM1,HPSE2,ARHGAP42,CDH20,H2AC6,SLCO1A2,LINC00472,CLDN5,KIAA1217,NEAT1,ELMO1,HIPK2,CBLN2,RANBP3L,LDLRAD3,PDE1C
40,PLIN5,HIF1A,TFEB,ADAMTS18,FAM177B,PCAT19,TNS3,TRPS1,B2M,HYCC1,SASH1,NEAT1,PHYHD1,DSEL-AS1,HPSE2,CXCL1,MAF,KLHL1,LINC01317,CNTN5,CHST11,NFIA,ZIC1,LINC01088
41,AHNAK,PADI2,NDRG2,SOX10,LUZP2,SOCS3,NXN,MEGF11,LINC02072,HS3ST4,SPATA13,PXK,ACACB,PDK4,SMOC1,CD93,CHST3,COBLL1,SYTL3,NXN,GREM1,NR2F2-AS1,TIMP3,SPP1
42,ERBB4,LHFPL2,TRPS1,PDK4,SLC35F4,ND2,RUNX1,LUZP2,LINC02742,CNTN5,TENM1,ZFHX4-AS1,CYP27A1,SLC39A11,TRPS1,LOC101929538,ZHX2,ZFP36L2,PRELID2,TTN,PALD1,QKI,SYTL4,GRIN3A
43,KCNJ10,WIPF1,MT2A,HSPA1B,CD9,IL2RG,LINC02742,SIGLEC11,GPRC5B,VWF,PDLIM5,NXN,HS3ST2,NDRG1,LINC00836,GGT5,LINC01748,ITPKB,PTN,ABTB3,PLD4,NXN,IFITM3,GPRC5B
44,MTUS1,HCLS1,HLA-B,SEMA5A,MLC1,SP100,NFIA,CLMN,HSPA1B,PLCG2,STEAP1B,RAD51B,TNS3,LRRC3B,LINC01931,FENDRR,ATP1A2,SFMBT2,SULF1,QKI,PCDH15,SLC1A3,TMT1A,APOLD1
45,EYA2,NHSL1,NXN,HLA-A,CCN1,MYOF,LINC00511,PDZRN4,EDA,STK32B,KCNN3,LOC100507336,DPEP2,ZFHX4,SGO1-AS1,TM4SF18,MIR4300HG,ROBO2,ABCA1,GNG12,EDA,HSPB1,TNS1,PDLIM5
46,CD44,RASSF2,PHF21B,KIF19,STEAP1B,KAT2B,SLC1A3,LINC01088,SLC25A18,NOSTRIN,ND6,ITGAM,SYTL3,MAML2,PNOC,TRGC1,DUSP1,CNTN5,RANBP3L,HSPB1,STEAP1B,RGS20,DENND3,MAML3
47,RASSF8,TBXAS1,SEMA3E,NDRG2,TPRG1,P2RY8,SLC7A2,DISC1,VAV3,PDE1C,GFAP,GPC5,PBX3,PIEZO2,FAT4,FOXF1,TMT1A,FAT4,RGS12,MBP,RGS12,STEAP1B,F3,ABCA1
48,TRPS1,CLEC1A,TSHZ2,RASSF2,MECOM,MT2A,LINC01821,NDRG2,ND6,CDK18,NOS1,SLC31A2,HS3ST4,PHF21B,LINC00548,ACVRL1,GRIK1,LINC00836,SEMA3E,FGD4,HSPA2,AEBP1,IFITM2,CA8
49,FOXO1,ITPKB,PLXDC2,CDKN1C,SPATA13,LDLRAD3,NDRG2,CCL2,PARD3B,ERBB4,ITPKB,EYA4,MITF,SULF1,PLCG2,EBF1,CHST11,ZBTB20,LHFPL2,PRELID2,MAML3,AHNAK,ADAMTS9-AS2,LOC102546299
50,HGF,ALOX15B,LHFPL2,SFMBT2,SLC26A5-AS1,LPAR5,STEAP1B,CDH5,IRAK3,RHOJ,SDK1,CHST11,VAV3,CLMN,TSHZ2,TAGLN2,TRPS1,MRC1,TRPS1,PLCG2,HSPA1B,ITGA8,ANGPTL4,ARHGAP24
51,KCNN3,PLXDC2,CTSB,OLMALINC,CHST11,MSN,HCK,ABTB3,PPFIBP2,HSPA1B,B2M,LINC02742,SCHLAP1,LINC00609,LAMA3,ANO2,H2AC6,ID1,ADGRV1,HPSE2,LRMDA,PLCE1,NID1,SHISA6
52,ACSBG1,SPON1,CNR1,LOC105377448,NKD1,TMEM71,MAF,STAB1,STEAP1B,SAMD4A,ITPR2,AKAP13,OBI1-AS1,LAMA3,HS3ST2,HLA-E,ITGB4,ITGA1,MAF,NDRG2,TRPS1,TNS3,DUSP1,C5orf64
53,VAV3,PARVG,H2AC6,ST6GALNAC3,ND6,COX2,CEMIP,ARHGAP42,ABTB3,LINC02742,RASGEF1C,ERBB4,CD96,FOXO1,LHFPL2,FLI1,ZCCHC24,MSR1,TENM1,LRP4,SOX6,FGD4,CPM,PRUNE2
54,ACACB,RASSF8,SLC7A2,LHFPL2,RELN,ANO2,SLC25A18,DOCK10,LINC00511,NTNG1,PLXDC2,GALNTL6,ZHX2,SLC1A3,LINC02742,IRAK3,SLC25A18,OLMALINC,DACH2,ATP1A2,LHFPL3,SLC25A48,AASS,ZNF804A
55,SRGAP1,TLR5,SRGAP1,ADARB2,AQP4,NID1,TFEB,PLA1A,GJA1,MBP,TMTC2,ERMN,RASGEF1B,RGR,LRMDA,SRGN,FGL1,MYO16,ADARB2,LINC00548,ADARB2,DSEL-AS1,ZHX2,SYTL3
56,SLC25A18,MAML2,SPP1,HLA-C,LINC02742,COL4A1,GJA1,CHI3L1,PRELID2,NDRG2,HIF3A,LRMDA,LOC105377448,SFMBT2,C8orf34,ITGA1,PIP4K2A,IQGAP2,GLI3,FOXO1,SPP1,DAAM2,RFTN2,SGCZ
57,TANC1,TNFRSF11B,ADAMTS17,AGMO,IGFBP5,IRAK3,PLCG2,CABLES1,GLUL,ITPKB,MBP,CRYAB,GABRE,ITGA8,RGS12,FAM107B,PRIMA1,RAD51B,TLL1,SLC25A18,ITGA8,ADAMTS1,PDE3A,MAF
58,HSPB1,AXL,ZFHX4,LRP2,NDST4,SLC2A3,LOC102546299,SASH1,RHOJ,ELMO1,NDE1,PDE3A,CXCL16,SPP1,LYPD6,RNASE1,BMP7,ZFHX4,ITPR2,SYTL3,APBB1IP,CECR2,NDRG2,KLHL1
59,SLC39A12,TBC1D16,HIF3A,BCL6,PTN,DUSP1,ALDH1A1,TMT1A,LRMDA,FKBP5,PLCG2,SYNE2,SEMA3E,PRDM16,PRELID2,EMCN,MERTK,H2AC6,HIF3A,GFAP,ADGRE2,RNF144B,EDNRA,CDH20
60,SLC7A11,LAPTM5,SYTL3,LHFPL3,BMPR1B,CXCL16,CACHD1,BST2,MAML2,RUNX1,TMT1A,STEAP1B,RUNX1,LINC01010,H2AC6,IFITM2,SGO1-AS1,SPATA13,LINC02742,LTBP1,SPATA13,GSN,FMO2,GREM1
61,RFX4,LCP2,NLRP1,ITPKB,SEMA3E,RANBP3L,FAM107A,SLC22A3,HS3ST4,LINC00609,LINC02798,NKX6-2,PLCH1,GFAP,LINC01317,TMCC3,KIAA0040,C10orf90,NDRG2,NFIA,SLC1A3,ROR1,AEBP1,FKBP5
62,ADAM33,ARHGAP22,PELI1,CD22,WDFY4,GPX3,CLMN,STK32A,PBX3,MAML2,ANO2,HLA-B,PSD2,LINC02798,TMEM132C,LRRC32,AKAP13,DUSP1,FSHR,HYCC1,RASGEF1B,TAFA4,H2AC6,NFIA
63,GFAP,SPN,IGFBP5,NEAT1,GPRC5B,SLC2A9,FGD4,IL1RAPL2,LINC02798,HS3ST2,SYNPR,RGS12,ADAMTSL1,KCNN3,SPP1,TGM2,PDE4B,CREB5,SFMBT2,RUNX1,PDZRN4,LITAF,RAB31,ZFHX4
64,MAF,HIPK2,GREM1,CA2,MGST1,SAMD4A,CDC42EP4,NINJ2,FAM107A,APOLD1,FSHR,LOC285626,TNFAIP8,PLCG2,HIF3A,MYO15B,SLAIN1,IPCEF1,TSHZ2,RAD51B,ENOX2,LGR5,GADD45B,RGS10
65,ZFP36L1,CYP27A1,TENM1,CDH20,ITPKB,ZFP36L1,H2AC6,HMCN1,SEMA3E,RBM47,LINC00877,LAT2,PXK,EFHD1,SRGAP1,SH3TC1,HSPA1A,ITK,HCK,RASGEF1B,RELN,MMD2,GPR4,FGD4
66,DDR2,RNASET2,GPRC5B,MT3,GLIS3,ERG,EDA,PWRN1,RYR3,DUSP1,PREX2,B2M,ADARB2,CDH20,AMER2,TRIM56,PLD5,SH3TC2,GFAP,LHFPL2,SERPINE1,TNS1,IL1R1,TMEM163
67,TGFB2,APOC1,CLMN,MAF,HCK,PECAM1,DPP10,CNTN5,DPP10,GPRC5B,TGFBR1,SLC7A2,FGD4,CNTN5,ADGRV1,LDLRAD3,ENOX2,ZFP36L1,ACACB,KCTD12,HSPA1A,PARD3B,ABCA8,KCNN3
68,COL21A1,PRAM1,SLC25A18,DOCK1,HIP1,HILPDA,ADAMTS17,GPRC5B,HIF3A,LINC02798,HSPA1B,LINC01482,DACH2,MAF,NDRG1,NOSTRIN,RFTN2,NDST4,ANGPT1,ADGRV1,TNS3,LINC01098,IL17RA,TNS3
69,RFTN2,SRGAP2B,FAM107A,NDRG1,ROBO2,HIP1,ADAMTS6,ZNF98,EMID1,GRIK1,KCNMB1,GNA14,SPP1,SRGAP1,BCL6,TIE1,ARHGEF26,CARNS1,ND6,THSD7A,LOC101927314,PRELID2,NUPR1,ZNF385D
70,EGFR,USP6NL,RGMA,CLCA4,PADI2,TES,TGFB2,CYBA,BCL6,ACACB,VRK2,MAF,GLUL,PREX2,GNG12,MCAM,MTUS1,CLIC4,LOC101927314,MIR4527HG,LHFPL2,GLIS3,PARD3,TSHZ2
71,GRAMD2B,UTRN,DHRS3,RFTN2,PDK4,GNB4,ITPKB,SCD,LOC102546299,RASGEF1C,ZFHX4,LINC02882,STK33,MEGF11,ZFHX4,ZFP36,DISP1,MYO1G,MMD2,EFHD1,SLC35F4,STOM,FOXC1,KCTD12
72,COLEC12,SDK1,ARHGAP24,XYLT1,LINC02798,TINAGL1,FGFR2,LINC01821,LGALS9,LRMDA,PECAM1,LINC00548,ADGRG1,HLA-B,SEMA3E,TNFAIP8,ADARB2,MAF,ZHX2,KLHL1,FAM107A,LINC01500,PLIN2,DOCK8
73,RYR3,TGFB1,LINC01317,NLRC5,MAML2,MRC1,MMD2,ADARB2,NDRG2,SNTB1,ZCCHC24,PCAT1,OTULINL,PLXDC2,KCNIP1,AHNAK,EMID1,ITGAM,GREM1,GPRIN3,AMER2,ZNF804B,CDKN1A,ACACB
74,PHYHD1,RCSD1,ROBO2,LINC01445,MYRF,GNG12,HS3ST4,SPATA13,SYT6,GPRIN3,CA2,CDK18,ERBB4,ADAMTS6,RANBP3L,MMRN1,PLIN5,LRMDA,PLPPR1,RGS20,NXPH1,VAV3,GLUL,EFHD1
75,CHI3L1,PITPNC1,STEAP1B,PIP4K2A,PRELID2,PLA1A,GREM1,LOC105376219,MTUS1,TSPAN15,NDRG1,DNAH11,LINC01060,PLCE1,CDK18,CYSLTR1,DOCK5,LINC00609,SERPINE1,DISC1,ZNF385D,EDA,GYPC,CHI3L1
76,TSHZ2,VSIG4,NFIA,CSRP1,MUSTN1,FREM2,GLUL,SDK1,PLCG2,BCL6,HSPA1A,HES5,LAT2,RBM47,CRISPLD2,SP100,FOXO1,COL5A3,NDRG1,SPP1,FAM107B,CDH20,APOLD1,HPN-AS1
77,LDLRAD3,NEDD9,EGFR,RASSF8,LRP2,PREX1,FSHR,FGD4,SYTL3,SRGAP1,TSHZ2,SRGAP1,LINC00877,PARD3,RASSF8,PLA2G4A,GPRC5B,ADAMTS6,NPAS3,STEAP1B,CDH20,LINC00472,EFHD1,PHF21B
78,EGLN3,TLR2,SLC24A3,B2M,LINC01317,DEPP1,PLCH1,KIT,ADAMTS17,ROR1,GRAMD2B,PBX3,KAT2B,FGF2,SYTL3,SLCO2B1,CD96,SMOC1,CA8,LRRC63,MAF,XYLT1,ZFHX3,SYNPR
79,PADI2,ELMO1,ADARB2,HSPB1,MEGF10,TMEM132C,MAML2,COL5A3,ITPKB,ADARB2,AASS,PDE1C,SLC1A3,EDA,HIP1,ALPK1,PXK,LNC-LBCS,STEAP1B,RAB31,PBX3,TSHZ2,DDIT4,MIR3681HG
80,KLF2,PDLIM5,APOLD1,SPATA13,QKI,LOC105374438,PECAM1,BOK,CEMIP,AGBL1,ZC3HAV1,TMTC2,CHD7,CECR2,RAD51B,MECOM,OLMALINC,FAM177B,PRELP,TFEB,CARD8,ARHGAP15,SLC6A13,EPS8
81,GEM,SLC7A5,CHST11,PDLIM5,GPC5,FOXF1,BCL6,EMX2OS,MECOM,ZFHX4-AS1,S100Z,TNS3,HLA-B,KIF26B,APOLD1,ERG,TLR1,SHISA6,LINC00609,NOS1,ARHGAP15,NDRG2,TGFB1,LRRC63
82,CLIC4,MYOF,CDK18,PACRG-AS3,FA2H,PLSCR1,EPCAM-DT,NDRG1,SLC6A12,PECAM1,PARD3B,ACACB,SLC31A2,LGALS9,ND6,PARP9,SASH1,ROR1,LRRC3B,ARHGAP6,QKI,IFITM3,RNF152,SLC1A3
83,ZNF804B,LINC01736,ARHGAP6,LUCAT1,GLI3,STOM,SLA,STEAP1B,NFIA,PTCHD4,HPSE2,HSPA1B,GEM,GLUL,SLC35F4,SHROOM4,LRRC1,NWD1,PDZRN4,LOC101927314,KCNN3,GEM,THBS1,SDK1
84,LINC00298,AHNAK,DNAH11,ZCCHC24,ATP1A2,MT1M,PLIN5,THSD7A,AQP4,KIT,LOC102546299,SLC25A18,PON2,COL5A3,LINC01748,LEF1,NEAT1,PCSK6,MYO16,AQP4,H2AC6,UST,ADM,MID1
85,TMT1A,KLHL6,RUNX1,CYBRD1,ZNF804A,EGFR,SYTL4,CDC42EP4,PXK,STEAP1B,GRIN2C,LINC01060,SLA,HSPA1B,CHRM5,VWF,TMEM63A,TTYH2,CBLN2,AMER2,FBXL7,AQP4,SERPINE1,CHST11
86,LTBP1,SP100,LOC285626,AZGP1,SYNPR,IL17RA,COL21A1,TANC1,SMOC1,MYT1,DPP10,CTSC,RAD51B,GNA14,RUNX2,PDLIM1,MAML2,SLC7A5,FOS,CA8,SEMA5A,ENTREP1,C7,LRMDA
87,SLC25A48,RREB1,GJA1,LINC00472,IGFBP7,SASH1,HIF3A,ITPKB,CYP27A1,JAML,RAD51B,LINC01098,CNR1,FBN2,PITPNC1,SLC9A9,VRK2,FOXO1,SLC9A9,MYT1,FOXO1,CNP,AHNAK,CHD7
88,QKI,CXCR4,H1-3,HLA-E,CD82,CD79B,THSD4,PON2,CDK18,CHD7,ZNF804B,SEMA3C,PECAM1,PIK3CG,SLC39A11,CNKSR3,SLC9A9,PLAC8,POSTN,HSPA1A,LINC00511,ADAM33,TBX3,CACHD1
89,PCSK5,RUNX2,ATP1B2,FOXO1,BCL6,ADGRG6,ABI3BP,TFEB,CLMN,PREX2,STAB1,HSPB1,UST,TXNIP,SEMA5A,RHBDF2,UST,EDA,GLIS3,PXK,GSN,LINC02997,JUNB,ITGA8
90,HSPA1A,GPRIN3,LINC00511,PCSK6,SLC7A5,CDC42EP4,LINC02072,PDGFD,SPP1,SLC25A18,CLIC4,GSN,CRYAB,THSD4,OLMALINC,ITGA2,WHRN,MARCHF3,SASH1,CDC42EP4,PAWR,ACSS1,ITPR2,NOS1
91,MERTK,SRGAP1,TNS3,CLMN,PSD2,SLC25A13,LINC00609,HLA-DPB1,ALDH1L1,LINC00639,TNS1,RASGEF1B,KIF26B,DNAH11,LINC00299,NEAT1,SRGAP2,ZHX2,CHI3L1,OLMALINC,CAPN3,ITGA1,SHISA6,HIPK2
92,NXN,SLC6A12,DISP1,CHD7,LOC102724768,LEF1,CHST11,CPNE2,DISC1,ND6,PLIN5,ROR2,ATP1B2,COL21A1,CHRM2,CD82,H2BC4,APOLD1,NXN,IGFBP7,ZNF804A,CABLES1,SPON1,EMID1
93,LMNTD1,ST18,DOCK1,GALNT15,WIPF1,CMTM8,LHFPL2,CTSB,RGS12,FOXP2,MTUS1,TRPS1,HSPA1B,LINC02742,ENPP2,CARD8,RHOJ,SUSD3,FGD4,ARHGAP15,MYO16,GRAMD2B,LITAF,AMER2
94,RGMA,SERPINE1,PXK,PHF21B,ATP11C,TGIF2,FAM107B,GNLY,ADAMTSL1,TMEM98,DOCK1,PRELP,LOC124909494,MTUS1,FKBP5,EPAS1,SOX10,DCN,APOLD1,DAPK2,SYTL3,ACACB,COL1A2,RUNX1
95,MEGF10,STAB1,MYO15B,GPC5,TRPS1,ADGRG1,GPRC5B,AQP1,NDE1,TFEB,CDK18,HS3ST5,DAPK2,NDRG2,CHI3L1,NHSL1,ERBB3,SLC2A9,H2AC6,IFITM3,AQP4,SASH1,EBF1,AKAP13
